Dataset,Model,Metric,Base_Metric,Category,Count,Mean,Std,CV,Skewness,Kurtosis,Min,Q25,Median,Q75,Max,IQR,Range
Dialogset,DistilBART,OF_after,OF,After,187,0.08776821672754541,0.11200360142756842,1.2761293963081846,1.796899358606375,3.345791720056916,0.0,0.004537791333667941,0.04597701149425288,0.13333333333333336,0.5555555555555555,0.12879554199966542,0.5555555555555555
Dialogset,DistilBART,NH_before,NH,Before,187,0.2970715558950853,0.25788914719195843,0.8681044754181559,0.5041080288802908,-0.5307897456613628,0.0,0.0,0.33333333333333326,0.4444444444444445,1.0,0.4444444444444445,1.0
Dialogset,DistilBART,NH_after,NH,After,187,0.2999618029029794,0.26090855761070675,0.869805938908481,0.5738442766122758,-0.39257161460200285,0.0,0.0,0.33333333333333326,0.4555555555555556,1.0,0.4555555555555556,1.0
Dialogset,DistilBART,LF_before,LF,Before,187,0.7798276886512181,1.4805148171743452,1.8985153242442934,3.7074165358841986,17.618059718843913,-5.551115123125783e-17,0.0,0.22222222222222218,0.9666666666666666,10.999999999999998,0.9666666666666666,10.999999999999998
Dialogset,DistilBART,LF_after,LF,After,187,0.8594134623546387,1.7189613190936668,2.0001563791938066,4.35404239990796,24.517364051077426,0.0,0.0,0.33333333333333326,0.9999999999999999,13.999999999999998,0.9999999999999999,13.999999999999998
Dialogset,DistilBART,EF1_before,EF1,Before,187,0.08009953866635248,0.11133788970894871,1.389994144319817,1.6715527049197882,3.2767381772482422,0.0,0.0,0.0,0.14074074074074072,0.5714285714285715,0.14074074074074072,0.5714285714285715
Dialogset,DistilBART,EF1_after,EF1,After,187,0.0749483483771434,0.09816461668589695,1.3097635746678267,1.3105962075503161,1.3531433257118946,0.0,0.0,0.0,0.13333333333333333,0.47619047619047616,0.13333333333333333,0.47619047619047616
Dialogset,DistilBART,EHI_CAL_before,EHI_CAL,Before,187,0.18536378043629229,0.1609220728725012,0.8681419449567632,0.7219575331091735,-0.024466740796542208,0.0043161610294446175,0.03407109321641438,0.16424640987786876,0.33022607290464695,0.8105866615708007,0.29615497968823257,0.8062705005413561
Dialogset,DistilBART,EHI_CAL_after,EHI_CAL,After,187,0.3662519674202477,0.15465199660022866,0.42225574292349577,0.9021028347466823,0.2511244156709602,0.20403304270903103,0.23157894736842105,0.332407955616955,0.4551789906901272,1.0,0.22360004332170613,0.795966957290969
Dialogset,DistilBART,EHI_EXP_before,EHI_EXP,Before,187,0.3172898721851686,0.10398171163546092,0.32771834448840453,-1.6694482790317715,2.1990290881109806,3.384957963137385e-05,0.29057425556169436,0.35138276932480006,0.3936773186051076,0.46229888810984743,0.10310306304341321,0.46226503853021605
